cohort_name,estimate,value,diagnostics,source
diagnosis_of_ankle_sprain,Clinical description,"Diagnosis of ankle sprain typically results from an acute injury, often due to sudden twisting or rolling of the ankle, leading to partial or complete tears of the ligaments.",cohort_count,mistral-large-latest
diagnosis_of_ankle_sprain,Frequency,Diagnosis of ankle sprain is very commonly seen in both primary and secondary care settings and across all types of real-world healthcare data.,cohort_count,mistral-large-latest
diagnosis_of_ankle_sprain,Median age of incident cases,"25 to 50 (Individuals typically present with ankle sprains during young adulthood and middle age, often due to sports injuries or everyday accidents.)",cohort_characteristics,mistral-large-latest
diagnosis_of_ankle_sprain,Percentage male,"45% to 55% (The sex distribution is roughly equal, with a slight male predominance in some studies due to increased participation in high-risk activities.)",cohort_characteristics,mistral-large-latest
diagnosis_of_ankle_sprain,Survival at five years,99% to 100% (Mortality is extremely low as ankle sprains are generally not life-threatening.),cohort_survival,mistral-large-latest
diagnosis_of_ankle_sprain,Cohort overlap,"0-5% with diagnosis of prostate cancer, 5-15% with new user of morphine",compare_cohorts,mistral-large-latest
diagnosis_of_ankle_sprain,Cohort timing,"For those with diagnosis of prostate cancer, ankle sprain would typically occur randomly before or after diagnosis, whilst for new users of morphine, the morphine use would typically start at the same time or soon after the ankle sprain (within 1-30 days).",compare_cohorts,mistral-large-latest
diagnosis_of_ankle_sprain,Frequently seen comorbidities,"hypertension, obesity, diabetes, osteoarthritis, depression, asthma, chronic obstructive pulmonary disease, anxiety, back pain, osteoporosis (These comorbidities are commonly seen due to the broad age range and the general population affected by ankle sprains.)","large_scale_characteristics, compare_large_scale_characteristics",mistral-large-latest
diagnosis_of_ankle_sprain,Frequently seen signs and symptoms,"ankle pain, ankle swelling, ankle instability, ankle stiffness, ankle bruising, limited ankle range of motion, ankle tenderness, difficulty weight bearing, ankle deformity, ankle redness (These signs and symptoms are directly related to the injury and inflammation caused by the sprain.)","large_scale_characteristics, compare_large_scale_characteristics",mistral-large-latest
diagnosis_of_ankle_sprain,Frequently seen medications,"ibuprofen, paracetamol, naproxen, diclofenac, codeine, morphine, aspirin, celecoxib, meloxicam, tramadol (These medications are commonly used for pain management and reducing inflammation associated with ankle sprains.)","large_scale_characteristics, compare_large_scale_characteristics",mistral-large-latest
diagnosis_of_prostate_cancer,Clinical description,"Prostate cancer is a malignancy of the prostate gland, often driven by androgen stimulation.",cohort_count,mistral-large-latest
diagnosis_of_prostate_cancer,Frequency,"Prostate cancer is commonly diagnosed, particularly in older males, and cases can be identified in various real-world healthcare data, including primary care and hospital settings.",cohort_count,mistral-large-latest
diagnosis_of_prostate_cancer,Median age of incident cases,65 to 75 (Prostate cancer typically presents in individuals aged 65 to 75 years old.),cohort_characteristics,mistral-large-latest
